resId,title,mediaType,url,difficulty,duration,grade
R_K6_A1_HTML,Khối 6 - A1 (HTML),html,Web/K6_A1.html,1,10,6
R_K6_A2_HTML,Khối 6 - A2 (HTML),html,Web/K6_A2.html,1,10,6
R_K6_A3_HTML,Khối 6 - A3 (HTML),html,Web/K6_A3.html,1,10,6
R_K6_A4_HTML,Khối 6 - A4 (HTML),html,Web/K6_A4.html,1,10,6
R_K6_A5_HTML,Khối 6 - A5 (HTML),html,Web/K6_A5.html,1,10,6
R_K6_B1_HTML,Khối 6 - B1 (HTML),html,Web/K6_B1.html,1,10,6
R_K6_B2_HTML,Khối 6 - B2 (HTML),html,Web/K6_B2.html,1,10,6
R_K6_B3_HTML,Khối 6 - B3 (HTML),html,Web/K6_B3.html,1,10,6
R_K6_B4_HTML,Khối 6 - B4 (HTML),html,Web/K6_B4.html,1,10,6
R_K6_C1_HTML,Khối 6 - C1 (HTML),html,Web/K6_C1.html,1,10,6
R_K6_C2_HTML,Khối 6 - C2 (HTML),html,Web/K6_C2.html,1,10,6
R_K6_C3_HTML,Khối 6 - C3 (HTML),html,Web/K6_C3.html,1,10,6
R_K6_C4_HTML,Khối 6 - C4 (HTML),html,Web/K6_C4.html,1,10,6
R_K6_C5_HTML,Khối 6 - C5 (HTML),html,Web/K6_C5.html,1,10,6
R_K6_C6_HTML,Khối 6 - C6 (HTML),html,Web/K6_C6.html,1,10,6
R_K6_D1_HTML,Khối 6 - D1 (HTML),html,Web/K6_D1.html,1,10,6
R_K6_D2_HTML,Khối 6 - D2 (HTML),html,Web/K6_D2.html,1,10,6
R_K6_D3_HTML,Khối 6 - D3 (HTML),html,Web/K6_D3.html,1,10,6
R_K6_E1_HTML,Khối 6 - E1 (HTML),html,Web/K6_E1.html,1,10,6
R_K6_E2_HTML,Khối 6 - E2 (HTML),html,Web/K6_E2.html,1,10,6
R_K6_E3_HTML,Khối 6 - E3 (HTML),html,Web/K6_E3.html,1,10,6
R_K6_E4_HTML,Khối 6 - E4 (HTML),html,Web/K6_E4.html,1,10,6
R_K6_E5_HTML,Khối 6 - E5 (HTML),html,Web/K6_E5.html,1,10,6
R_K6_E6_HTML,Khối 6 - E6 (HTML),html,Web/K6_E6.html,1,10,6
R_K6_E7_HTML,Khối 6 - E7 (HTML),html,Web/K6_E7.html,1,10,6
R_K6_E8_HTML,Khối 6 - E8 (HTML),html,Web/K6_E8.html,1,10,6
R_K6_F1_HTML,Khối 6 - F1 (HTML),html,Web/K6_F1.html,1,10,6
R_K6_F2_HTML,Khối 6 - F2 (HTML),html,Web/K6_F2.html,1,10,6
R_K6_F3_HTML,Khối 6 - F3 (HTML),html,Web/K6_F3.html,1,10,6
R_K6_F4_HTML,Khối 6 - F4 (HTML),html,Web/K6_F4.html,1,10,6
R_K6_F5_HTML,Khối 6 - F5 (HTML),html,Web/K6_F5.html,1,10,6
