studentId,assessId,score,date
2324_0001,ASSESS_K6_A1_2024,0.7,2024-09-15
2324_0001,ASSESS_K6_A2_2024,0.8,2024-09-22
2324_0001,ASSESS_K6_A3_2024,0.75,2024-09-29
2324_0002,ASSESS_K6_A1_2024,0.9,2024-09-15
2324_0002,ASSESS_K6_A2_2024,0.95,2024-09-22
2324_0002,ASSESS_K6_A3_2024,0.9,2024-09-29
2324_0003,ASSESS_K6_A1_2024,1.0,2024-09-15
2324_0003,ASSESS_K6_A2_2024,0.85,2024-09-22
2324_0003,ASSESS_K6_A3_2024,0.9,2024-09-29
2324_0004,ASSESS_K6_A1_2024,0.69,2024-09-15
2324_0004,ASSESS_K6_A2_2024,0.98,2024-09-22
2324_0004,ASSESS_K6_A3_2024,0.88,2024-09-29
2324_0005,ASSESS_K6_A1_2024,0.91,2024-09-15
2324_0005,ASSESS_K6_A2_2024,1.0,2024-09-22
2324_0005,ASSESS_K6_A3_2024,0.97,2024-09-29
2324_0006,ASSESS_K6_A1_2024,0.69,2024-09-15
2324_0006,ASSESS_K6_A2_2024,0.93,2024-09-22
2324_0006,ASSESS_K6_A3_2024,0.85,2024-09-29
2324_0007,ASSESS_K6_A1_2024,0.98,2024-09-15
2324_0007,ASSESS_K6_A2_2024,0.76,2024-09-22
2324_0007,ASSESS_K6_A3_2024,0.83,2024-09-29
2324_0008,ASSESS_K6_A1_2024,0.5,2024-09-15
2324_0008,ASSESS_K6_A2_2024,0.6,2024-09-22
2324_0008,ASSESS_K6_A3_2024,0.55,2024-09-29
2324_0009,ASSESS_K6_A1_2024,0.85,2024-09-15
2324_0009,ASSESS_K6_A2_2024,0.9,2024-09-22
2324_0009,ASSESS_K6_A3_2024,0.88,2024-09-29
2324_0010,ASSESS_K6_A1_2024,0.92,2024-09-15
2324_0010,ASSESS_K6_A2_2024,0.88,2024-09-22
2324_0010,ASSESS_K6_A3_2024,0.9,2024-09-29
2324_0011,ASSESS_K6_A1_2024,0.45,2024-09-15
2324_0011,ASSESS_K6_A2_2024,0.5,2024-09-22
2324_0011,ASSESS_K6_A3_2024,0.48,2024-09-29
2324_0012,ASSESS_K6_A1_2024,0.8,2024-09-15
2324_0012,ASSESS_K6_A2_2024,0.85,2024-09-22
2324_0012,ASSESS_K6_A3_2024,0.82,2024-09-29
2324_0013,ASSESS_K6_A1_2024,0.75,2024-09-15
2324_0013,ASSESS_K6_A2_2024,0.8,2024-09-22
2324_0013,ASSESS_K6_A3_2024,0.78,2024-09-29
2324_0014,ASSESS_K6_A1_2024,0.88,2024-09-15
2324_0014,ASSESS_K6_A2_2024,0.92,2024-09-22
2324_0014,ASSESS_K6_A3_2024,0.9,2024-09-29
2324_0015,ASSESS_K6_A1_2024,0.65,2024-09-15
2324_0015,ASSESS_K6_A2_2024,0.7,2024-09-22
2324_0015,ASSESS_K6_A3_2024,0.68,2024-09-29
2324_0016,ASSESS_K6_A1_2024,0.95,2024-09-15
2324_0016,ASSESS_K6_A2_2024,0.98,2024-09-22
2324_0016,ASSESS_K6_A3_2024,0.96,2024-09-29
2324_0017,ASSESS_K6_A1_2024,0.72,2024-09-15
2324_0017,ASSESS_K6_A2_2024,0.78,2024-09-22
2324_0017,ASSESS_K6_A3_2024,0.75,2024-09-29
2324_0018,ASSESS_K6_A1_2024,0.82,2024-09-15
2324_0018,ASSESS_K6_A2_2024,0.88,2024-09-22
2324_0018,ASSESS_K6_A3_2024,0.85,2024-09-29
2324_0019,ASSESS_K6_A1_2024,0.58,2024-09-15
2324_0019,ASSESS_K6_A2_2024,0.62,2024-09-22
2324_0019,ASSESS_K6_A3_2024,0.6,2024-09-29
2324_0020,ASSESS_K6_A1_2024,0.9,2024-09-15
2324_0020,ASSESS_K6_A2_2024,0.93,2024-09-22
2324_0020,ASSESS_K6_A3_2024,0.91,2024-09-29
